
2025/06/16 (09:45:34) | ===> btop++ v.1.3.0
2025/06/16 (09:45:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/16 (09:45:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/16 (13:26:36) | ===> btop++ v.1.3.0
2025/06/16 (13:26:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/16 (13:26:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/16 (13:41:23) | WARNING: Failed to join _runner thread on exit!

2025/06/17 (13:34:28) | ===> btop++ v.1.3.0
2025/06/17 (13:34:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/17 (13:34:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/18 (12:32:40) | ===> btop++ v.1.3.0
2025/06/18 (12:32:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/18 (12:32:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/19 (19:49:43) | ===> btop++ v.1.3.0
2025/06/19 (19:49:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/19 (19:49:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/20 (11:03:09) | ===> btop++ v.1.3.0
2025/06/20 (11:03:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/20 (11:03:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/20 (12:10:13) | WARNING: Failed to join _runner thread on exit!

2025/06/20 (19:22:14) | ===> btop++ v.1.3.0
2025/06/20 (19:22:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/20 (19:22:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/20 (19:22:28) | WARNING: Failed to join _runner thread on exit!

2025/06/20 (19:25:48) | ===> btop++ v.1.3.0
2025/06/20 (19:25:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/20 (19:25:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/23 (13:08:59) | ===> btop++ v.1.3.0
2025/06/23 (13:08:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/23 (13:08:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/23 (13:09:21) | WARNING: Failed to join _runner thread on exit!

2025/06/24 (08:37:47) | ===> btop++ v.1.3.0
2025/06/24 (08:37:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/24 (08:37:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/24 (08:49:44) | WARNING: Failed to join _runner thread on exit!

2025/06/24 (09:17:49) | ===> btop++ v.1.3.0
2025/06/24 (09:17:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/24 (09:17:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/24 (09:18:03) | ===> btop++ v.1.3.0
2025/06/24 (09:18:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/24 (09:18:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/24 (11:19:24) | ===> btop++ v.1.3.0
2025/06/24 (11:19:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/24 (11:19:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/24 (11:52:14) | ERROR: Stall in Runner thread, restarting!
2025/06/24 (11:52:55) | ERROR: Stall in Runner thread, restarting!
2025/06/24 (11:53:35) | ERROR: Stall in Runner thread, restarting!
2025/06/24 (11:54:13) | ERROR: Stall in Runner thread, restarting!

2025/06/26 (13:57:19) | ===> btop++ v.1.3.0
2025/06/26 (13:57:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/26 (13:57:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/27 (22:09:00) | ===> btop++ v.1.3.0
2025/06/27 (22:09:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/27 (22:09:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/06/27 (22:09:07) | WARNING: Failed to join _runner thread on exit!

2025/06/27 (22:10:58) | ===> btop++ v.1.3.0
2025/06/27 (22:10:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/27 (22:10:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/27 (22:59:52) | ===> btop++ v.1.3.0
2025/06/27 (22:59:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/27 (22:59:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/06/28 (11:02:19) | ===> btop++ v.1.3.0
2025/06/28 (11:02:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/28 (11:02:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/04 (09:43:25) | ===> btop++ v.1.3.0
2025/07/04 (09:43:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/04 (09:43:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/08 (09:32:10) | ===> btop++ v.1.3.0
2025/07/08 (09:32:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/08 (09:32:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/08 (13:53:12) | ===> btop++ v.1.3.0
2025/07/08 (13:53:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/08 (13:53:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/10 (10:41:43) | ===> btop++ v.1.3.0
2025/07/10 (10:41:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/10 (10:41:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/07/10 (11:54:59) | ===> btop++ v.1.3.0
